article	in nbfolder branch?	Current Reference	New Name
how-to-set-up-training-targets.md	Yes	tutorials/01.train-models.ipynb	https://github.com/Azure/MachineLearningNotebooks/blob/master/tutorials/img-classification-part2-deploy.ipynb
how-to-track-experiments.md	Yes	01.getting-started/01.train-within-notebook/01.train-within-notebook.ipynb	https://github.com/Azure/MachineLearningNotebooks/blob/master/how-to-use-azureml/training\train-within-notebook\train-within-notebook.ipynb
how-to-track-experiments.md	Yes	01.getting-started/02.train-on-local/02.train-on-local.ipynb	https://github.com/Azure/MachineLearningNotebooks/blob/master/how-to-use-azureml/training/train-on-local/train-on-local.ipynb
how-to-track-experiments.md	Yes	01.getting-started/06.logging-api/06.logging-api.ipynb	https://github.com/Azure/MachineLearningNotebooks/blob/master/how-to-use-azureml/training\logging-api\logging-api.ipynb
how-to-train-ml-models.md	Yes	tutorials/01.train-models.ipynb	https://github.com/Azure/MachineLearningNotebooks/blob/master/tutorials/img-classification-part1-training.ipynb
how-to-train-ml-models.md	NO	training/06.distributed-cntk-with-custom-docker	https://github.com/Azure/MachineLearningNotebooks/blob/master/how-to-use-azureml/training-with-deep-learning\distributed-cntk-with-custom-docker\distributed-cntk-with-custom-docker.ipynb
how-to-train-tensorflow.md	Yes	training/03.train-hyperparameter-tune-deploy-with-tensorflow/03.train-hyperparameter-tune-deploy-with-tensorflow.ipynb	https://github.com/Azure/MachineLearningNotebooks/blob/master/how-to-use-azureml/training-with-deep-learning\train-hyperparameter-tune-deploy-with-tensorflow\train-hyperparameter-tune-deploy-with-tensorflow.ipynb
how-to-train-tensorflow.md	Yes	training/04.distributed-tensorflow-with-horovod	https://github.com/Azure/MachineLearningNotebooks/blob/master/how-to-use-azureml/training-with-deep-learning\distributed-tensorflow-with-horovod\distributed-tensorflow-with-horovod.ipynb
how-to-train-tensorflow.md	Yes	05.distributed-tensorflow-with-parameter-server	https://github.com/Azure/MachineLearningNotebooks/blob/master/how-to-use-azureml/training-with-deep-learning\distributed-tensorflow-with-parameter-server\distributed-tensorflow-with-parameter-server.ipynb
quickstart-get-started.md	no change?	01.run-experiment.ipynb (from Getting Started library in AZN)	no change?
samples-notebooks.md	Yes	00.configuration.ipynb	https://github.com/Azure/MachineLearningNotebooks/blob/master/configuration.ipynb
tutorial-auto-train-models.md	NO	tutorials/03.auto-train-models.ipynb	https://github.com/Azure/MachineLearningNotebooks/blob/master/tutorials/regression-part2-automated-ml.ipynb
tutorial-deploy-models-with-aml.md	Yes	tutorials/02.deploy-models.ipynb	https://github.com/Azure/MachineLearningNotebooks/blob/master/tutorials/img-classification-part2-deploy.ipynb
tutorial-train-models-with-aml.md	Yes	tutorials/01.train-models.ipynb	https://github.com/Azure/MachineLearningNotebooks/blob/master/tutorials/img-classification-part1-training.ipynb
