Configuration,Rule Source,Sarif Identifier,Alerts
/language:javascript-typescript,codeql/javascript-queries (1.5.4+a46f8fb0d9533114f3c634d7ec1e09f4c8b1c505),js/incorrect-suffix-check,0
/language:javascript-typescript,codeql/javascript-queries (1.5.4+a46f8fb0d9533114f3c634d7ec1e09f4c8b1c505),js/indirect-command-line-injection,0
/language:javascript-typescript,codeql/javascript-queries (1.5.4+a46f8fb0d9533114f3c634d7ec1e09f4c8b1c505),js/insecure-dependency,0
/language:javascript-typescript,codeql/javascript-queries (1.5.4+a46f8fb0d9533114f3c634d7ec1e09f4c8b1c505),js/insecure-download,0
/language:javascript-typescript,codeql/javascript-queries (1.5.4+a46f8fb0d9533114f3c634d7ec1e09f4c8b1c505),js/insecure-helmet-configuration,0
/language:javascript-typescript,codeql/javascript-queries (1.5.4+a46f8fb0d9533114f3c634d7ec1e09f4c8b1c505),js/insecure-randomness,0
/language:javascript-typescript,codeql/javascript-queries (1.5.4+a46f8fb0d9533114f3c634d7ec1e09f4c8b1c505),js/insecure-temporary-file,0
/language:javascript-typescript,codeql/javascript-queries (1.5.4+a46f8fb0d9533114f3c634d7ec1e09f4c8b1c505),js/insufficient-key-size,0
/language:javascript-typescript,codeql/javascript-queries (1.5.4+a46f8fb0d9533114f3c634d7ec1e09f4c8b1c505),js/insufficient-password-hash,0
/language:javascript-typescript,codeql/javascript-queries (1.5.4+a46f8fb0d9533114f3c634d7ec1e09f4c8b1c505),js/jwt-missing-verification,0
/language:javascript-typescript,codeql/javascript-queries (1.5.4+a46f8fb0d9533114f3c634d7ec1e09f4c8b1c505),js/log-injection,0
/language:javascript-typescript,codeql/javascript-queries (1.5.4+a46f8fb0d9533114f3c634d7ec1e09f4c8b1c505),js/loop-bound-injection,0
/language:javascript-typescript,codeql/javascript-queries (1.5.4+a46f8fb0d9533114f3c634d7ec1e09f4c8b1c505),js/missing-origin-check,0
/language:javascript-typescript,codeql/javascript-queries (1.5.4+a46f8fb0d9533114f3c634d7ec1e09f4c8b1c505),js/missing-rate-limiting,0
/language:javascript-typescript,codeql/javascript-queries (1.5.4+a46f8fb0d9533114f3c634d7ec1e09f4c8b1c505),js/missing-token-validation,0
/language:javascript-typescript,codeql/javascript-queries (1.5.4+a46f8fb0d9533114f3c634d7ec1e09f4c8b1c505),js/overly-large-range,0
/language:javascript-typescript,codeql/javascript-queries (1.5.4+a46f8fb0d9533114f3c634d7ec1e09f4c8b1c505),js/password-in-configuration-file,0
/language:javascript-typescript,codeql/javascript-queries (1.5.4+a46f8fb0d9533114f3c634d7ec1e09f4c8b1c505),js/path-injection,0
/language:javascript-typescript,codeql/javascript-queries (1.5.4+a46f8fb0d9533114f3c634d7ec1e09f4c8b1c505),js/polynomial-redos,0
/language:javascript-typescript,codeql/javascript-queries (1.5.4+a46f8fb0d9533114f3c634d7ec1e09f4c8b1c505),js/prototype-polluting-assignment,0
/language:javascript-typescript,codeql/javascript-queries (1.5.4+a46f8fb0d9533114f3c634d7ec1e09f4c8b1c505),js/prototype-pollution,0
/language:javascript-typescript,codeql/javascript-queries (1.5.4+a46f8fb0d9533114f3c634d7ec1e09f4c8b1c505),js/prototype-pollution-utility,0
/language:javascript-typescript,codeql/javascript-queries (1.5.4+a46f8fb0d9533114f3c634d7ec1e09f4c8b1c505),js/redos,0
/language:javascript-typescript,codeql/javascript-queries (1.5.4+a46f8fb0d9533114f3c634d7ec1e09f4c8b1c505),js/reflected-xss,0
/language:javascript-typescript,codeql/javascript-queries (1.5.4+a46f8fb0d9533114f3c634d7ec1e09f4c8b1c505),js/regex-injection,0
/language:javascript-typescript,codeql/javascript-queries (1.5.4+a46f8fb0d9533114f3c634d7ec1e09f4c8b1c505),js/regex/missing-regexp-anchor,0
/language:javascript-typescript,codeql/javascript-queries (1.5.4+a46f8fb0d9533114f3c634d7ec1e09f4c8b1c505),js/remote-property-injection,0
/language:javascript-typescript,codeql/javascript-queries (1.5.4+a46f8fb0d9533114f3c634d7ec1e09f4c8b1c505),js/request-forgery,0
/language:javascript-typescript,codeql/javascript-queries (1.5.4+a46f8fb0d9533114f3c634d7ec1e09f4c8b1c505),js/resource-exhaustion,0
/language:javascript-typescript,codeql/javascript-queries (1.5.4+a46f8fb0d9533114f3c634d7ec1e09f4c8b1c505),js/resource-exhaustion-from-deep-object-traversal,0
/language:javascript-typescript,codeql/javascript-queries (1.5.4+a46f8fb0d9533114f3c634d7ec1e09f4c8b1c505),js/samesite-none-cookie,0
/language:javascript-typescript,codeql/javascript-queries (1.5.4+a46f8fb0d9533114f3c634d7ec1e09f4c8b1c505),js/second-order-command-line-injection,0
/language:javascript-typescript,codeql/javascript-queries (1.5.4+a46f8fb0d9533114f3c634d7ec1e09f4c8b1c505),js/sensitive-get-query,0
/language:javascript-typescript,codeql/javascript-queries (1.5.4+a46f8fb0d9533114f3c634d7ec1e09f4c8b1c505),js/server-crash,0
/language:javascript-typescript,codeql/javascript-queries (1.5.4+a46f8fb0d9533114f3c634d7ec1e09f4c8b1c505),js/server-side-unvalidated-url-redirection,0
/language:javascript-typescript,codeql/javascript-queries (1.5.4+a46f8fb0d9533114f3c634d7ec1e09f4c8b1c505),js/session-fixation,0
/language:javascript-typescript,codeql/javascript-queries (1.5.4+a46f8fb0d9533114f3c634d7ec1e09f4c8b1c505),js/shell-command-constructed-from-input,0
