Product name,String ID,GUID,Service plans included,Service plans included (friendly names)
OFFICE 365 SMALL BUSINESS PREMIUM,LITEPACK_P2,fc14ec4a-4169-49a4-a51e-2c852931814b,EXCHANGE_L_STANDARD (d42bdbd6-c335-4231-ab3d-c8f348d5aff5),EXCHANGE ONLINE (P1)(d42bdbd6-c335-4231-ab3d-c8f348d5aff5)
OFFICE 365 SMALL BUSINESS PREMIUM,LITEPACK_P2,fc14ec4a-4169-49a4-a51e-2c852931814b,MCOLITE (70710b6b-3ab4-4a38-9f6d-9f169461650a),SKYPE FOR BUSINESS ONLINE (PLAN P1) (70710b6b-3ab4-4a38-9f6d-9f169461650a)
OFFICE 365 SMALL BUSINESS PREMIUM,LITEPACK_P2,fc14ec4a-4169-49a4-a51e-2c852931814b,OFFICE_PRO_PLUS_SUBSCRIPTION_SMBIZ (8ca59559-e2ca-470b-b7dd-afd8c0dee963),OFFICE_PRO_PLUS_SUBSCRIPTION_SMBIZ (8ca59559-e2ca-470b-b7dd-afd8c0dee963)
OFFICE 365 SMALL BUSINESS PREMIUM,LITEPACK_P2,fc14ec4a-4169-49a4-a51e-2c852931814b,SHAREPOINTLITE (a1f3d0a8-84c0-4ae0-bae4-685917b8ab48),SHAREPOINTLITE (a1f3d0a8-84c0-4ae0-bae4-685917b8ab48)
OFFICE 365 SMALL BUSINESS PREMIUM,LITEPACK_P2,fc14ec4a-4169-49a4-a51e-2c852931814b,SWAY (a23b959c-7ce8-4e57-9140-b90eb88a9e97),SWAY (a23b959c-7ce8-4e57-9140-b90eb88a9e97)
ONEDRIVE FOR BUSINESS (PLAN 1),WACONEDRIVESTANDARD,e6778190-713e-4e4f-9119-8b8238de25df,FORMS_PLAN_E1 (159f4cd6-e380-449f-a816-af1a9ef76344),MICROSOFT FORMS (PLAN E1) (159f4cd6-e380-449f-a816-af1a9ef76344)
ONEDRIVE FOR BUSINESS (PLAN 1),WACONEDRIVESTANDARD,e6778190-713e-4e4f-9119-8b8238de25df,ONEDRIVESTANDARD (13696edf-5a08-49f6-8134-03083ed8ba30),ONEDRIVESTANDARD (13696edf-5a08-49f6-8134-03083ed8ba30)
ONEDRIVE FOR BUSINESS (PLAN 1),WACONEDRIVESTANDARD,e6778190-713e-4e4f-9119-8b8238de25df,SHAREPOINTWAC (e95bec33-7c88-4a70-8e19-b10bd9d0c014),OFFICE ONLINE (e95bec33-7c88-4a70-8e19-b10bd9d0c014)
ONEDRIVE FOR BUSINESS (PLAN 1),WACONEDRIVESTANDARD,e6778190-713e-4e4f-9119-8b8238de25df,SWAY (a23b959c-7ce8-4e57-9140-b90eb88a9e97),SWAY (a23b959c-7ce8-4e57-9140-b90eb88a9e97)
ONEDRIVE FOR BUSINESS (PLAN 2),WACONEDRIVEENTERPRISE,ed01faf2-1d88-4947-ae91-45ca18703a96,ONEDRIVEENTERPRISE (afcafa6a-d966-4462-918c-ec0b4e0fe642),ONEDRIVEENTERPRISE (afcafa6a-d966-4462-918c-ec0b4e0fe642)
ONEDRIVE FOR BUSINESS (PLAN 2),WACONEDRIVEENTERPRISE,ed01faf2-1d88-4947-ae91-45ca18703a96,SHAREPOINTWAC (e95bec33-7c88-4a70-8e19-b10bd9d0c014),OFFICE ONLINE (e95bec33-7c88-4a70-8e19-b10bd9d0c014)
POWER APPS PER USER PLAN,POWERAPPS_PER_USER,b30411f5-fea1-4a59-9ad9-3db7c7ead579,,
POWER BI FOR OFFICE 365 ADD-ON,POWER_BI_ADDON,45bc2c81-6072-436a-9b0b-3b12eefbc402,BI_AZURE_P1 (2125cfd7-2110-4567-83c4-c1cd5275163d),MICROSOFT POWER BI REPORTING AND ANALYTICS PLAN 1 (2125cfd7-2110-4567-83c4-c1cd5275163d)
POWER BI FOR OFFICE 365 ADD-ON,POWER_BI_ADDON,45bc2c81-6072-436a-9b0b-3b12eefbc402,SQL_IS_SSIM (fc0a60aa-feee-4746-a0e3-aecfe81a38dd),MICROSOFT POWER BI INFORMATION SERVICES PLAN 1(fc0a60aa-feee-4746-a0e3-aecfe81a38dd)
POWER BI PRO,POWER_BI_PRO,f8a1db68-be16-40ed-86d5-cb42ce701560,BI_AZURE_P2 (70d33638-9c74-4d01-bfd3-562de28bd4ba),POWER BI PRO (70d33638-9c74-4d01-bfd3-562de28bd4ba)
PROJECT FOR OFFICE 365,PROJECTCLIENT,a10d5e58-74da-4312-95c8-76be4e5b75a0,PROJECT_CLIENT_SUBSCRIPTION (fafd7243-e5c1-4a3a-9e40-495efcb1d3c3),PROJECT_CLIENT_SUBSCRIPTION (fafd7243-e5c1-4a3a-9e40-495efcb1d3c3)
PROJECT ONLINE ESSENTIALS,PROJECTESSENTIALS,776df282-9fc0-4862-99e2-70e561b9909e,FORMS_PLAN_E1 (159f4cd6-e380-449f-a816-af1a9ef76344),MICROSOFT FORMS (PLAN E1) (159f4cd6-e380-449f-a816-af1a9ef76344)
PROJECT ONLINE ESSENTIALS,PROJECTESSENTIALS,776df282-9fc0-4862-99e2-70e561b9909e,PROJECT_ESSENTIALS (1259157c-8581-4875-bca7-2ffb18c51bda),PROJECT ONLINE ESSENTIALS (1259157c-8581-4875-bca7-2ffb18c51bda)
PROJECT ONLINE ESSENTIALS,PROJECTESSENTIALS,776df282-9fc0-4862-99e2-70e561b9909e,SHAREPOINTENTERPRISE (5dbe027f-2339-4123-9542-606e4d348a72),SHAREPOINT ONLINE (PLAN 2) (5dbe027f-2339-4123-9542-606e4d348a72)
PROJECT ONLINE ESSENTIALS,PROJECTESSENTIALS,776df282-9fc0-4862-99e2-70e561b9909e,SHAREPOINTWAC (e95bec33-7c88-4a70-8e19-b10bd9d0c014),OFFICE ONLINE (e95bec33-7c88-4a70-8e19-b10bd9d0c014)
PROJECT ONLINE ESSENTIALS,PROJECTESSENTIALS,776df282-9fc0-4862-99e2-70e561b9909e,SWAY (a23b959c-7ce8-4e57-9140-b90eb88a9e97),SWAY (a23b959c-7ce8-4e57-9140-b90eb88a9e97)
PROJECT ONLINE PREMIUM,PROJECTPREMIUM,09015f9f-377f-4538-bbb5-f75ceb09358a,PROJECT_CLIENT_SUBSCRIPTION (fafd7243-e5c1-4a3a-9e40-495efcb1d3c3),PROJECT_CLIENT_SUBSCRIPTION (fafd7243-e5c1-4a3a-9e40-495efcb1d3c3)
PROJECT ONLINE PREMIUM,PROJECTPREMIUM,09015f9f-377f-4538-bbb5-f75ceb09358a,SHAREPOINT_PROJECT (fe71d6c3-a2ea-4499-9778-da042bf08063),SHAREPOINT_PROJECT (fe71d6c3-a2ea-4499-9778-da042bf08063)
PROJECT ONLINE PREMIUM,PROJECTPREMIUM,09015f9f-377f-4538-bbb5-f75ceb09358a,SHAREPOINTENTERPRISE (5dbe027f-2339-4123-9542-606e4d348a72),SHAREPOINT ONLINE (PLAN 2) (5dbe027f-2339-4123-9542-606e4d348a72)
PROJECT ONLINE PREMIUM,PROJECTPREMIUM,09015f9f-377f-4538-bbb5-f75ceb09358a,SHAREPOINTWAC (e95bec33-7c88-4a70-8e19-b10bd9d0c014),OFFICE ONLINE (e95bec33-7c88-4a70-8e19-b10bd9d0c014)
PROJECT ONLINE PREMIUM WITHOUT PROJECT CLIENT,PROJECTONLINE_PLAN_1,2db84718-652c-47a7-860c-f10d8abbdae3,FORMS_PLAN_E1 (159f4cd6-e380-449f-a816-af1a9ef76344),MICROSOFT FORMS (PLAN E1) (159f4cd6-e380-449f-a816-af1a9ef76344)
PROJECT ONLINE PREMIUM WITHOUT PROJECT CLIENT,PROJECTONLINE_PLAN_1,2db84718-652c-47a7-860c-f10d8abbdae3,SHAREPOINT_PROJECT (fe71d6c3-a2ea-4499-9778-da042bf08063),SHAREPOINT_PROJECT (fe71d6c3-a2ea-4499-9778-da042bf08063)
PROJECT ONLINE PREMIUM WITHOUT PROJECT CLIENT,PROJECTONLINE_PLAN_1,2db84718-652c-47a7-860c-f10d8abbdae3,SHAREPOINTENTERPRISE (5dbe027f-2339-4123-9542-606e4d348a72),SHAREPOINT ONLINE (PLAN 2) (5dbe027f-2339-4123-9542-606e4d348a72)
PROJECT ONLINE PREMIUM WITHOUT PROJECT CLIENT,PROJECTONLINE_PLAN_1,2db84718-652c-47a7-860c-f10d8abbdae3,SHAREPOINTWAC (e95bec33-7c88-4a70-8e19-b10bd9d0c014),OFFICE ONLINE (e95bec33-7c88-4a70-8e19-b10bd9d0c014)
PROJECT ONLINE PREMIUM WITHOUT PROJECT CLIENT,PROJECTONLINE_PLAN_1,2db84718-652c-47a7-860c-f10d8abbdae3,SWAY (a23b959c-7ce8-4e57-9140-b90eb88a9e97),SWAY (a23b959c-7ce8-4e57-9140-b90eb88a9e97)
PROJECT ONLINE PROFESSIONAL,PROJECTPROFESSIONAL,53818b1b-4a27-454b-8896-0dba576410e6,PROJECT_CLIENT_SUBSCRIPTION (fafd7243-e5c1-4a3a-9e40-495efcb1d3c3),PROJECT_CLIENT_SUBSCRIPTION (fafd7243-e5c1-4a3a-9e40-495efcb1d3c3)
PROJECT ONLINE PROFESSIONAL,PROJECTPROFESSIONAL,53818b1b-4a27-454b-8896-0dba576410e6,SHAREPOINT_PROJECT (fe71d6c3-a2ea-4499-9778-da042bf08063),SHAREPOINT_PROJECT (fe71d6c3-a2ea-4499-9778-da042bf08063)
PROJECT ONLINE PROFESSIONAL,PROJECTPROFESSIONAL,53818b1b-4a27-454b-8896-0dba576410e6,SHAREPOINTENTERPRISE (5dbe027f-2339-4123-9542-606e4d348a72),SHAREPOINT ONLINE (PLAN 2) (5dbe027f-2339-4123-9542-606e4d348a72)
PROJECT ONLINE PROFESSIONAL,PROJECTPROFESSIONAL,53818b1b-4a27-454b-8896-0dba576410e6,SHAREPOINTWAC (e95bec33-7c88-4a70-8e19-b10bd9d0c014),OFFICE ONLINE (e95bec33-7c88-4a70-8e19-b10bd9d0c014)
PROJECT ONLINE WITH PROJECT FOR OFFICE 365,PROJECTONLINE_PLAN_2,f82a60b8-1ee3-4cfb-a4fe-1c6a53c2656c,FORMS_PLAN_E1 (159f4cd6-e380-449f-a816-af1a9ef76344),MICROSOFT FORMS (PLAN E1) (159f4cd6-e380-449f-a816-af1a9ef76344)
PROJECT ONLINE WITH PROJECT FOR OFFICE 365,PROJECTONLINE_PLAN_2,f82a60b8-1ee3-4cfb-a4fe-1c6a53c2656c,PROJECT_CLIENT_SUBSCRIPTION (fafd7243-e5c1-4a3a-9e40-495efcb1d3c3),PROJECT_CLIENT_SUBSCRIPTION (fafd7243-e5c1-4a3a-9e40-495efcb1d3c3)
PROJECT ONLINE WITH PROJECT FOR OFFICE 365,PROJECTONLINE_PLAN_2,f82a60b8-1ee3-4cfb-a4fe-1c6a53c2656c,SHAREPOINT_PROJECT (fe71d6c3-a2ea-4499-9778-da042bf08063),SHAREPOINT_PROJECT (fe71d6c3-a2ea-4499-9778-da042bf08063)
PROJECT ONLINE WITH PROJECT FOR OFFICE 365,PROJECTONLINE_PLAN_2,f82a60b8-1ee3-4cfb-a4fe-1c6a53c2656c,SHAREPOINTENTERPRISE (5dbe027f-2339-4123-9542-606e4d348a72),SHAREPOINT ONLINE (PLAN 2) (5dbe027f-2339-4123-9542-606e4d348a72)
PROJECT ONLINE WITH PROJECT FOR OFFICE 365,PROJECTONLINE_PLAN_2,f82a60b8-1ee3-4cfb-a4fe-1c6a53c2656c,SHAREPOINTWAC (e95bec33-7c88-4a70-8e19-b10bd9d0c014),OFFICE ONLINE (e95bec33-7c88-4a70-8e19-b10bd9d0c014)
PROJECT ONLINE WITH PROJECT FOR OFFICE 365,PROJECTONLINE_PLAN_2,f82a60b8-1ee3-4cfb-a4fe-1c6a53c2656c,SWAY (a23b959c-7ce8-4e57-9140-b90eb88a9e97),SWAY (a23b959c-7ce8-4e57-9140-b90eb88a9e97)
SHAREPOINT ONLINE (PLAN 1),SHAREPOINTSTANDARD,1fc08a02-8b3d-43b9-831e-f76859e04e1a,SHAREPOINTSTANDARD (c7699d2e-19aa-44de-8edf-1736da088ca1),SHAREPOINTSTANDARD (c7699d2e-19aa-44de-8edf-1736da088ca1)
SHAREPOINT ONLINE (PLAN 2),SHAREPOINTENTERPRISE,a9732ec9-17d9-494c-a51c-d6b45b384dcb,SHAREPOINTENTERPRISE (5dbe027f-2339-4123-9542-606e4d348a72),SHAREPOINT ONLINE (PLAN 2) (5dbe027f-2339-4123-9542-606e4d348a72)
SKYPE FOR BUSINESS CLOUD PBX,MCOEV,e43b5b99-8dfb-405f-9987-dc307f34bcbd,MCOEV (4828c8ec-dc2e-4779-b502-87ac9ce28ab7),PHONE SYSTEM (4828c8ec-dc2e-4779-b502-87ac9ce28ab7)
SKYPE FOR BUSINESS ONLINE (PLAN 1),MCOIMP,b8b749f8-a4ef-4887-9539-c95b1eaa5db7,MCOIMP (afc06cb0-b4f4-4473-8286-d644f70d8faf),SKYPE FOR BUSINESS ONLINE (PLAN 1) (afc06cb0-b4f4-4473-8286-d644f70d8faf)
SKYPE FOR BUSINESS ONLINE (PLAN 2),MCOSTANDARD,d42c793f-6c78-4f43-92ca-e8f6a02b035f,MCOSTANDARD (0feaeb32-d00e-4d66-bd5a-43b5b83db82c),SKYPE FOR BUSINESS ONLINE (PLAN 2) (0feaeb32-d00e-4d66-bd5a-43b5b83db82c)
SKYPE FOR BUSINESS PSTN DOMESTIC AND INTERNATIONAL CALLING,MCOPSTN2,d3b4fe1f-9992-4930-8acb-ca6ec609365e,MCOPSTN2 (5a10155d-f5c1-411a-a8ec-e99aae125390),DOMESTIC AND INTERNATIONAL CALLING PLAN (5a10155d-f5c1-411a-a8ec-e99aae125390)
SKYPE FOR BUSINESS PSTN DOMESTIC CALLING,MCOPSTN1,0dab259f-bf13-4952-b7f8-7db8f131b28d,MCOPSTN1 (4ed3ff63-69d7-4fb7-b984-5aec7f605ca8),DOMESTIC CALLING PLAN (4ed3ff63-69d7-4fb7-b984-5aec7f605ca8)
SKYPE FOR BUSINESS PSTN DOMESTIC CALLING (120 Minutes),MCOPSTN5,54a152dc-90de-4996-93d2-bc47e670fc06,MCOPSTN5 (54a152dc-90de-4996-93d2-bc47e670fc06),DOMESTIC CALLING PLAN (54a152dc-90de-4996-93d2-bc47e670fc06)
VISIO ONLINE PLAN 1,VISIOONLINE_PLAN1,4b244418-9658-4451-a2b8-b5e2b364e9bd,ONEDRIVE_BASIC (da792a53-cbc0-4184-a10d-e544dd34b3c1),ONEDRIVE_BASIC (da792a53-cbc0-4184-a10d-e544dd34b3c1)
VISIO ONLINE PLAN 1,VISIOONLINE_PLAN1,4b244418-9658-4451-a2b8-b5e2b364e9bd,VISIOONLINE (2bdbaf8f-738f-4ac7-9234-3c3ee2ce7d0f),VISIOONLINE (2bdbaf8f-738f-4ac7-9234-3c3ee2ce7d0f)
VISIO Online Plan 2,VISIOCLIENT,c5928f49-12ba-48f7-ada3-0d743a3601d5,ONEDRIVE_BASIC (da792a53-cbc0-4184-a10d-e544dd34b3c1),ONEDRIVE_BASIC (da792a53-cbc0-4184-a10d-e544dd34b3c1)
VISIO Online Plan 2,VISIOCLIENT,c5928f49-12ba-48f7-ada3-0d743a3601d5,VISIO_CLIENT_SUBSCRIPTION (663a804f-1c30-4ff0-9915-9db84f0d1cea),VISIO_CLIENT_SUBSCRIPTION (663a804f-1c30-4ff0-9915-9db84f0d1cea)
VISIO Online Plan 2,VISIOCLIENT,c5928f49-12ba-48f7-ada3-0d743a3601d5,VISIOONLINE (2bdbaf8f-738f-4ac7-9234-3c3ee2ce7d0f),VISIOONLINE (2bdbaf8f-738f-4ac7-9234-3c3ee2ce7d0f)
WINDOWS 10 ENTERPRISE E3,WIN10_PRO_ENT_SUB,cb10e6cd-9da4-4992-867b-67546b1db821,WIN10_PRO_ENT_SUB (21b439ba-a0ca-424f-a6cc-52f954a5b111),WINDOWS 10 ENTERPRISE (21b439ba-a0ca-424f-a6cc-52f954a5b111)
Windows 10 Enterprise E5,WIN10_VDA_E5,488ba24a-39a9-4473-8ee5-19291e71b002,EXCHANGE_S_FOUNDATION (113feb6c-3fe4-4440-bddc-54d774bf0318),Exchange Foundation (113feb6c-3fe4-4440-bddc-54d774bf0318)
Windows 10 Enterprise E5,WIN10_VDA_E5,488ba24a-39a9-4473-8ee5-19291e71b002,WINDEFATP (871d91ec-ec1a-452b-a83f-bd76c7d770ef),Microsoft Defender Advanced Threat Protection (871d91ec-ec1a-452b-a83f-bd76c7d770ef)
Windows 10 Enterprise E5,WIN10_VDA_E5,488ba24a-39a9-4473-8ee5-19291e71b002,Virtualization Rights for Windows 10 (E3/E5+VDA) (e7c91390-7625-45be-94e0-e16907e03118),Windows 10 Enterprise (New) (e7c91390-7625-45be-94e0-e16907e03118)
